CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),DOB,Country
1,f,19,,39.0,2006-09-16,UK
2,f,21,15.0,81.0,2003-08-14,India
3,Female,20,16.0,6.0,1992-06-01,India
4,male,23,16.0,77.0,,
5,male,31,,40.0,,USA
6,F,22,17.0,,2001-06-06,
7,F,35,18.0,6.0,2004-08-15,UK
8,Female,23,18.0,94.0,1986-12-13,
9,f,64,19.0,3.0,,India
10,f,30,19.0,72.0,1992-02-20,India
11,f,67,19.0,,1995-01-05,
12,female,35,19.0,99.0,2005-06-21,UK
13,F,58,20.0,15.0,1987-02-18,UK
14,F,24,20.0,77.0,1985-07-25,India
15,Female,37,20.0,13.0,1992-10-09,USA
16,f,22,20.0,79.0,1999-10-09,India
17,male,35,21.0,35.0,1986-11-01,UK
18,F,20,21.0,66.0,1988-01-20,India
19,Female,52,23.0,29.0,1997-03-24,USA
20,Female,35,23.0,98.0,,UK
21,Male,35,24.0,,1995-12-31,UK
22,Female,25,24.0,73.0,2005-02-15,USA
23,Female,46,25.0,5.0,1996-04-04,USA
24,f,31,25.0,73.0,1992-02-10,India
25,female,54,28.0,14.0,2000-12-01,USA
26,f,29,28.0,82.0,2003-08-20,
27,Male,45,28.0,32.0,2006-05-16,UK
28,male,35,28.0,61.0,2000-04-27,
29,f,40,29.0,31.0,1999-06-17,India
30,F,23,29.0,87.0,,USA
31,male,60,30.0,,1992-07-29,USA
32,male,21,30.0,73.0,2002-02-03,
33,female,53,33.0,,,UK
34,F,18,33.0,92.0,1991-10-18,India
35,male,49,33.0,14.0,1987-05-24,USA
36,Female,21,,81.0,1991-10-18,UK
37,female,42,34.0,17.0,2003-04-10,UK
38,f,30,34.0,73.0,1987-08-19,
39,female,36,37.0,26.0,2005-05-06,UK
40,f,20,37.0,75.0,1985-04-22,USA
41,F,65,38.0,35.0,1985-11-30,
42,f,24,38.0,92.0,1987-08-18,UK
43,male,48,39.0,36.0,2003-01-09,
44,female,31,39.0,61.0,1986-10-27,UK
45,Female,49,39.0,28.0,1994-05-19,USA
46,Male,24,39.0,65.0,1997-07-20,UK
47,f,50,40.0,55.0,1994-05-05,
48,Female,27,40.0,47.0,2000-10-02,USA
49,male,29,40.0,42.0,1987-01-28,USA
50,Male,31,40.0,,1994-07-11,USA
51,male,49,42.0,52.0,,USA
52,F,33,42.0,60.0,1989-11-07,UK
53,F,31,43.0,54.0,1986-01-29,India
54,Male,59,43.0,60.0,1987-02-20,USA
55,F,50,43.0,45.0,2004-02-27,
56,f,47,43.0,41.0,1987-12-12,
57,F,51,,50.0,1992-12-01,India
58,Male,69,44.0,46.0,1996-12-19,UK
59,male,27,46.0,51.0,1987-11-01,UK
7,F,35,18.0,6.0,2004-08-15,UK
